Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Университет Кентукки,393,США,8998.0,9997.5,,681,417,361
Токийский медицинский и стоматологический университет,394,Япония,3171.0,3295.5,,611,418,708
Сычуаньский университ,395,Китай,5152.0,,,355,150,140
Тилбургский университет,396,Нидерланды,6081.0,6103.0,,371,233,709
Университет Тегерана,397,Иран,8998.0,7998.0,,360,419,435
Университет Тулейна,398,США,58836.0,40915.0,,600,420,515
Университет Махидол,399,Таиланд,1000.0,1000.0,,382,612,612
Лондонский городской университет,400,Великобритания,26151.0,20904.5,34237.0,328,368,904
ENS Качан,401,Франция,203.0,245.0,
Технологический университет Малайзии,402,Малайзия,810.0,991.5,,188,421,710
Римский университет -Тор Вергата,403,Италия,3786.0,3515.5,,489,516
Университет Джорджа Мейсона,404,США,32961.0,17892.0,,951,422,264
Австралийский университет,405,Аргентина,5000.0,8000.0,,520
Дрексельский университет,406,США,40504.0,35938.0,37835.0,601,436
Национальный университет Малайзии,407,Малайзия,1000.0,1000.0,,159,423,517
Университет Флиндерса,408,Австралия,23744.5,25130.0,22558.0,380,326,362
Университет штата Луизиана в Батон-Руже,409,США,17819.5,18819.5,9000.0,801,613,437
Туринский политехнический университет,410,Италия,2812.0,3299.0,,252,424,613
Мадридский университет имени Карла III,411,Испания,2999.0,2999.0,,319,805,905
Национальная школа мостов и дорог,412,Франция,1082.0,9194.5,,192,425
Новосибирский государственный университет,413,Россия,3000.0,4100.0,8600.0,421,614,711
Университет Хериота-Уатта,414,Великобритания,20880.5,18754.0,24709.5,235,369,906
Университет Оксфорд Брукс,415,Великобритания,16369.0,14476.0,,413,615
Технологический университет Суинберна,416,Австралия,24371.0,24276.0,24048.5,285,234,265
Университет Санкт-Галлена,417,Швейцария,6963.0,7185.5,,436,370
Университет Путра,418,Малайзия,4265.0,3945.0,,158,801
Университет Граца,419,Австрия,1573.0,1573.0,,662,518
Университет Мэсси,420,Новая Зеландия,41760.0,42743.5,,239,509,712
Университет Валенсии,421,Испания,1000.0,1999.5,,485,363
Университет Уаикато,422,Новая Зеландия,21994.5,23916.0,30534.0,250,426,802
Университет Квебека,423,Канада,7000.0,7000.0,,751
"Мэрилендский университете, округ Балтимор",424,США,17495.0,17495.0,,711,616,713
Московский государственный технический университет им. Н. Э. Баумана,425,Россия,3180.0,3204.5,,319
Национальный университет Ян-Мин,426,Тайвань,3000.0,3000.0,
Университет Миссури в Колумбии,427,США,31725.0,21967.0,,586,266
Университет Орегона,428,США,40453.0,31887.5,,722,427,438
Пусанский национальный университет,429,Республика Корея,3063.0,,,612,510,439
Американский университет в Каире,430,Египет,21567.0,16350.0,17268.0,415,806
Астонский университет,431,Великобритания,24226.0,13872.5,,446,428
Университет содружества Вирджинии,432,США,36446.0,31197.5,,762,267
Университет Уэйна,433,США,30326.0,20422.5,42694.5,752,511,614
Аргентинский католический университет,434,Аргентина,5000.0,5000.0,,514
Новый университет Лиссабона,435,Португалия,754.0,1391.0,4800.0,400,512,615
Городской университет Дублина,436,Ирландия,9735.5,12825.0,16881.5,436,907
Федеральный Университет Рио-Гранде-ду-Сул,437,Бразилия,1000.0,1000.0,,692,617,440
Университет Байройт,438,Германия,500.0,500.0,,509,371,519
Университет Индонезии,439,Индонезия,5000.0,5000.0,,237,807
